source,trading_pair,spread
KuCoin,SOL-USDT,0.001373041699282963
KuCoin,ETH-USDT,0.00043747019733246127
KuCoin,XRP-USDT,0.0047644004002055824
KuCoin,INJ-USDT,0.019446425098853398
KuCoin,AVAX-USDT,0.015512293492593468
KuCoin,RATS-USDT,0.12351223894005255
KuCoin,JTO-USDT,0.0006690372887976739
KuCoin,RUNE-USDT,0.016952600528911742
KuCoin,ETH-USDC,0.00043740705099131887
KuCoin,BTC-USDT,0.00023300735603883958
KuCoin,TIA-USDT,0.09506908353403833
KuCoin,BTC-USDC,0.011180523528020977
KuCoin,ADA-USDT,0.00818767408649207
KuCoin,BONK-USDT,0.13528870609881816
KuCoin,ATOM-USDT,0.006991601338890887
KuCoin,FET-USDT,0.029949086552856843
KuCoin,LINK-USDT,0.0026324622077199857
KuCoin,SATS-USDT,0.30449826989618733
KuCoin,DOGE-USDT,0.01033484911119897
KuCoin,ETH-BTC,0.0018776521837113676
